reporter_iso3,reporter_name,year,avg_hhi,avg_cr3,avg_distance,total_imports,lpi_score,customs,infrastructure,logistics_quality,tracking_tracing,timeliness,gvc_participation
CMR,Cameroon,2021,0.20206004880595183,0.5839247946856599,5898.730574929312,3841561.681558,2.1,2.1,2.1,2.1,1.8,2.1,NA
CMR,Cameroon,2022,0.19916655815256495,0.582858313926464,5873.750806451613,3779208.827023,2.1,2.1,2.1,2.1,1.8,2.1,NA
CMR,Cameroon,2023,0.20726659409152642,0.5923496858318024,5790.849104477612,4212405.214569,2.1,2.1,2.1,2.1,1.8,2.1,NA
CZE,Czechia,2019,0.12924365160884807,0.5082841167153971,6055.950763888889,156015122.182,3.68,3.29,3.46,3.72,3.7,4.13,80
CZE,Czechia,2020,0.13057698401730003,0.5141565265659964,6091.574779116466,151406518.152,3.3,3,3,3.6,3.2,3.7,80
CZE,Czechia,2021,0.12556441856685627,0.5041137364845287,6023.692376630743,183644665.67000002,3.3,3,3,3.6,3.2,3.7,NA
CZE,Czechia,2022,0.13021633642045766,0.5043442255226633,6161.100944017563,196167357.106,3.3,3,3,3.6,3.2,3.7,NA
CZE,Czechia,2023,0.12381329548982432,0.49272411517931697,6209.028312533912,195775792.472,3.3,3,3,3.6,3.2,3.7,NA
DEU,Germany,2019,0.07533669312153907,0.35961049652231014,5931.378340635269,1001660670.271036,4.2,4.09,4.37,4.31,4.24,4.39,70
DEU,Germany,2020,0.08161485355759364,0.3758997383536809,5944.062915291529,963287331.6756703,4.1,3.9,4.3,4.2,4.2,4.1,70
DEU,Germany,2021,0.08055040122773895,0.36927935180842775,5893.001892341842,1141538687.434717,4.1,3.9,4.3,4.2,4.2,4.1,NA
DEU,Germany,2022,0.08710059818489538,0.3842114532998995,6203.529623287671,1221317058.29596,4.1,3.9,4.3,4.2,4.2,4.1,NA
DEU,Germany,2023,0.07946964676658128,0.3662048202848338,6049.407909090909,1182507687.271573,4.1,3.9,4.3,4.2,4.2,4.1,NA
DNK,Denmark,2019,0.10152250092562509,0.4545991723995601,5630.46481910275,75163614.717323,3.99,3.92,3.96,4.01,4.18,4.41,75
DNK,Denmark,2020,0.1045235542257875,0.4619898357180753,5714.309355300859,75996961.70102467,4.1,4.1,4.1,4.1,4.3,4.1,75
DNK,Denmark,2021,0.10263807641213987,0.46676403791893367,5824.297109677419,96284112.683119,4.1,4.1,4.1,4.1,4.3,4.1,NA
DNK,Denmark,2022,0.10525280538010093,0.468539607753776,5895.77687578419,86846582.085055,4.1,4.1,4.1,4.1,4.3,4.1,NA
DNK,Denmark,2023,0.10155858702611312,0.45962957867694276,6000.175562757808,91034311.205585,4.1,4.1,4.1,4.1,4.3,4.1,NA
EGY,Egypt,2019,0.1758711367636216,0.5251217560217358,5049.025660051769,47616941.456031,2.82,2.6,2.82,2.82,2.72,3.19,62
EGY,Egypt,2020,0.18910422479419778,0.546351413325123,4960.1868719211825,45098681.005156,3.1,2.8,3,2.9,2.9,3.6,62
EGY,Egypt,2021,0.19904935990030645,0.5545127118808644,5093.876947852761,55681290.496096,3.1,2.8,3,2.9,2.9,3.6,NA
EGY,Egypt,2022,0.19064701880850846,0.5533673880124197,5064.0933498759305,56057659.55491,3.1,2.8,3,2.9,2.9,3.6,NA
EGY,Egypt,2023,0.17891019275486314,0.5509551113153893,5096.551639477977,50066114.698662,3.1,2.8,3,2.9,2.9,3.6,NA
ESP,Spain,2019,0.10226499424981308,0.45509059589052336,6219.874669176977,258338309.497783,3.83,3.62,3.84,3.8,3.83,4.06,65
ESP,Spain,2020,0.10496236454303129,0.4599883327958042,6255.45171633554,233074855.147796,3.9,3.6,3.8,3.9,4.1,4.2,65
ESP,Spain,2021,0.10691866055332382,0.47029854366411555,6318.637688603531,288477151.4752753,3.9,3.6,3.8,3.9,4.1,4.2,NA
ESP,Spain,2022,0.10877899898292741,0.46919467971768136,6363.584202898551,315198081.43353117,3.9,3.6,3.8,3.9,4.1,4.2,NA
ESP,Spain,2023,0.10303291188769699,0.4631629153485272,6395.37751565762,311704667.630717,3.9,3.6,3.8,3.9,4.1,4.2,NA
FIN,Finland,2019,0.1051223413337223,0.4622572012875111,6041.068019732205,52286275.822705775,3.97,3.82,4,3.89,4.32,4.28,72
FIN,Finland,2020,0.11098069586424471,0.4724942654907377,6093.359204702628,50582887.30057226,4.2,4,4.2,4.2,4.2,4.3,72
FIN,Finland,2021,0.10590547457291674,0.4600997789111717,6132.544912985274,61045583.27790548,4.2,4,4.2,4.2,4.2,4.3,NA
FIN,Finland,2022,0.09794777306164473,0.44203520424577925,6115.904890800794,62326498.251716,4.2,4,4.2,4.2,4.2,4.3,NA
FIN,Finland,2023,0.09291172809575282,0.43669627882231726,6089.9776279069765,57085017.247157,4.2,4,4.2,4.2,4.2,4.3,NA
FRA,France,2019,0.10258783800688043,0.46098270652521794,6538.230974264706,490182093.32986665,3.84,3.59,4,3.84,4,4.15,65
FRA,France,2020,0.10050013074278545,0.4533541949233288,6300.973553274683,468778647.497983,3.9,3.7,3.8,3.8,4,4.1,65
FRA,France,2021,0.09813263488260517,0.4508939892957793,6406.619658559402,558437168.639253,3.9,3.7,3.8,3.8,4,4.1,NA
FRA,France,2022,0.09725660355308978,0.4464737090707683,6440.664935364728,575935002.837847,3.9,3.7,3.8,3.8,4,4.1,NA
FRA,France,2023,0.09959756493613697,0.44798045528813435,6405.701808066759,580716564.910057,3.9,3.7,3.8,3.8,4,4.1,NA
GBR,United Kingdom,2019,0.09936865292334295,0.45104540227093476,6351.405348837209,548278339.2794812,3.99,3.77,4.03,4.05,4.11,4.33,62
GBR,United Kingdom,2020,0.1094767833987734,0.46674564630242266,6276.079779710145,514533315.3859457,3.7,3.5,3.7,3.7,4,3.7,62
GBR,United Kingdom,2021,0.10690696975267842,0.45810527522108485,6265.99836,529395825.78131485,3.7,3.5,3.7,3.7,4,3.7,NA
GBR,United Kingdom,2022,0.11205829434098576,0.4731840282823725,6520.569635336415,565728851.311786,3.7,3.5,3.7,3.7,4,3.7,NA
GBR,United Kingdom,2023,0.10543916341945994,0.46434784458727624,6435.572166666667,571835561.053632,3.7,3.5,3.7,3.7,4,3.7,NA
GHA,Ghana,2019,0.18609412600646205,0.559848050019934,6269.38520361991,7804876.398210568,2.57,2.45,2.44,2.51,2.57,2.87,58
GHA,Ghana,2021,0.18604201057500766,0.5711450807355808,6432.195130260521,11139087.093583,2.5,2.7,2.4,2.5,2.2,2.7,NA
GHA,Ghana,2022,0.17950749944793365,0.5704912333055155,6381.400608930988,9793070.190153,2.5,2.7,2.4,2.5,2.2,2.7,NA
GHA,Ghana,2023,0.198636990222168,0.587252548168348,6459.316357481382,8257944.004931,2.5,2.7,2.4,2.5,2.2,2.7,NA
IDN,Indonesia,2019,0.17247173864198057,0.575451443361671,10533.763141025642,123802858.03,3.15,2.67,2.89,3.1,3.3,3.67,60
IDN,Indonesia,2020,0.1670434899516593,0.5635714208563326,10557.063263546797,102331637.479,3,2.8,2.9,2.9,3,3.3,60
IDN,Indonesia,2021,0.18598925003128736,0.5855573932382124,10458.948529603123,136949829.695,3,2.8,2.9,2.9,3,3.3,NA
IDN,Indonesia,2022,0.19362681869980727,0.5937547525770679,10492.448368560106,158270274.339,3,2.8,2.9,2.9,3,3.3,NA
IDN,Indonesia,2023,0.1917415030273875,0.5960560694653462,10618.825206718346,148125331.967,3,2.8,2.9,2.9,3,3.3,NA
IND,India,2019,0.11977547835587823,0.4604175264915722,7414.652165079365,296608943.406553,3.18,2.96,2.91,3.13,3.32,3.5,55
IND,India,2020,0.11542459634766329,0.4473265294908021,7376.885353059852,234223225.04491788,3.4,3,3.2,3.5,3.4,3.6,55
IND,India,2021,0.12477675266220982,0.46604600239343763,7445.706713055003,355908762.5868992,3.4,3,3.2,3.5,3.4,3.6,NA
IND,India,2022,0.11882943560762406,0.4617249107107017,7390.1669291338585,401875127.671238,3.4,3,3.2,3.5,3.4,3.6,NA
IND,India,2023,0.14436152237723118,0.5039084601688325,7363.958377837116,392508119.699117,3.4,3,3.2,3.5,3.4,3.6,NA
IRL,Ireland,2019,0.17567362609603956,0.6022265753156392,6318.73415576324,82163833.70378806,3.51,3.36,3.29,3.6,3.62,3.76,85
IRL,Ireland,2020,0.17910866607505987,0.6129649165814546,6325.246211936663,81035765.00948995,3.6,3.4,3.5,3.6,3.7,3.7,85
IRL,Ireland,2021,0.15721508235180012,0.5800896876384988,6706.599713580247,102154384.044189,3.6,3.4,3.5,3.6,3.7,3.7,NA
IRL,Ireland,2022,0.14935331409423824,0.570256444127695,6697.04369261477,119328640.823426,3.6,3.4,3.5,3.6,3.7,3.7,NA
IRL,Ireland,2023,0.15118619131478211,0.569612769724468,6746.356722855727,123740049.819714,3.6,3.4,3.5,3.6,3.7,3.7,NA
ITA,Italy,2019,0.08260947248759579,0.4009351138765766,5590.132938511327,360289488.46923405,3.74,3.47,3.85,3.66,3.85,4.13,65
ITA,Italy,2020,0.09107697018528246,0.4232047090641682,5509.750059484468,335780265.94898087,3.7,3.4,3.8,3.8,3.9,3.9,65
ITA,Italy,2021,0.08475796962435388,0.41077212694790816,5540.172046035806,425863667.6534781,3.7,3.4,3.8,3.8,3.9,3.9,NA
ITA,Italy,2022,0.08480855528407945,0.4076240531527445,5529.366824583867,470585993.437123,3.7,3.4,3.8,3.8,3.9,3.9,NA
ITA,Italy,2023,0.08408139873214486,0.4063112982219704,5621.113824826717,468534967.489441,3.7,3.4,3.8,3.8,3.9,3.9,NA
JPN,Japan,2019,0.1817031072828597,0.5789524308510487,9431.636947133284,440942173.6721043,4.03,3.99,4.25,4.09,4.05,4.25,60
JPN,Japan,2020,0.18936393431419787,0.5838698820637818,9469.971661562022,408637178.05277395,3.9,3.9,4.2,4.1,4,4,60
JPN,Japan,2021,0.1935624995550463,0.5849884743871395,9406.567045454545,468608066.3527538,3.9,3.9,4.2,4.1,4,4,NA
JPN,Japan,2022,0.18582076727700184,0.5803096526829458,9440.7475,487314864.3841546,3.9,3.9,4.2,4.1,4,4,NA
JPN,Japan,2023,0.19237432315781727,0.5941841828467246,9398.717321958457,417799644.371316,3.9,3.9,4.2,4.1,4,4,NA
KEN,Kenya,2019,0.22122326952822316,0.6052085715369279,6098.619471890971,11047293.905309806,2.81,2.65,2.55,2.81,3.07,3.18,60
KOR,South Korea,2019,0.17430173733875595,0.6308944559897002,9265.678158783783,309252582.718,3.61,3.4,3.73,3.59,3.75,3.92,75
KOR,South Korea,2020,0.17899596952593583,0.6402717804338625,9363.797216157205,309696809.966,3.8,3.9,4.1,3.8,3.8,3.8,75
KOR,South Korea,2021,0.17780874837579225,0.6272459470367533,9324.76764361702,383770398.992,3.8,3.9,4.1,3.8,3.8,3.8,NA
KOR,South Korea,2022,0.17992518286720927,0.6346591547132093,9338.461470428649,407423030.259,3.8,3.9,4.1,3.8,3.8,3.8,NA
KOR,South Korea,2023,0.1794818692432992,0.6331390037643744,9286.23477587161,380675691.231,3.8,3.9,4.1,3.8,3.8,3.8,NA
MAR,Morocco,2019,0.12814093750205047,0.514238680992621,5699.167831325301,36300753.21642032,2.54,2.33,2.43,2.49,2.51,2.88,68
MEX,Mexico,2019,0.26177338504422354,0.694680828009256,10162.633248564396,374629062.913,3.05,2.77,2.85,3.02,3,3.53,72
MEX,Mexico,2020,0.2644050240792336,0.6982472913825576,10118.626153205661,320212159.46,2.9,2.5,2.8,3,3.1,3.5,72
MEX,Mexico,2021,0.25149895571893927,0.6927441809617129,10136.360394477317,412034289.169,2.9,2.5,2.8,3,3.1,3.5,NA
MEX,Mexico,2022,0.2385471540804635,0.6855784442365539,10134.281789264414,480969267.151,2.9,2.5,2.8,3,3.1,3.5,NA
MEX,Mexico,2023,0.24237633240411138,0.677906292569007,10138.596385542169,494500995.689,2.9,2.5,2.8,3,3.1,3.5,NA
NGA,Nigeria,2019,0.3185231480305975,0.6878216681432677,6187.449043478261,34626052.3347,2.53,1.97,2.56,2.4,2.68,3.07,60
NGA,Nigeria,2020,0.2722320349503224,0.6421492881114143,6317.775045417011,38052356.039154164,2.6,2.4,2.4,2.3,2.7,3.1,60
NGA,Nigeria,2021,0.2770888600698536,0.664402525175352,6258.000376222723,27865048.699696627,2.6,2.4,2.4,2.3,2.7,3.1,NA
NGA,Nigeria,2022,0.2713146575866937,0.6622763789130226,6051.643955870764,29111743.672316,2.6,2.4,2.4,2.3,2.7,3.1,NA
NGA,Nigeria,2023,0.33428446138261614,0.7073205075185107,6195.877052715655,35760039.111486,2.6,2.4,2.4,2.3,2.7,3.1,NA
NLD,Netherlands,2019,0.10828473475785427,0.4919134381560187,5988.101691792295,351741586.2136399,4.02,3.92,4.21,4.09,4.02,4.25,80
NLD,Netherlands,2020,0.10877917803790793,0.4891401438666393,6021.015750564334,347066788.0445896,4.1,3.9,4.2,4.2,4.2,4,80
NLD,Netherlands,2021,0.10600796335525052,0.4850898091239334,5995.742330623306,428278206.8335432,4.1,3.9,4.2,4.2,4.2,4,NA
NLD,Netherlands,2022,0.10296044251287086,0.47455308246632477,6071.197108307045,432139667.293081,4.1,3.9,4.2,4.2,4.2,4,NA
NLD,Netherlands,2023,0.1025531113236932,0.47200719815294556,6041.776067474961,412501213.3217,4.1,3.9,4.2,4.2,4.2,4,NA
NOR,Norway,2019,0.10825946642246592,0.44318501157226103,5788.505192592593,70118282.24192801,3.7,3.52,3.69,3.69,3.94,3.94,65
NOR,Norway,2020,0.11550177275127543,0.4575035212500026,5791.659553113554,67324504.75438718,3.7,3.8,3.9,3.8,3.7,4,65
NOR,Norway,2021,0.11747136137498781,0.465361904189028,5831.34690070922,80964654.978536,3.7,3.8,3.9,3.8,3.7,4,NA
NOR,Norway,2022,0.11921213190730212,0.4665358444588419,5834.020450704225,80504748.246327,3.7,3.8,3.9,3.8,3.7,4,NA
NOR,Norway,2023,0.10797378666855044,0.4476587767627718,5959.2540958164645,75703621.121472,3.7,3.8,3.9,3.8,3.7,4,NA
POL,Poland,2019,0.11777910420433256,0.49246286385953114,6098.654502890174,199020174.994,3.54,3.25,3.21,3.58,3.51,3.95,75
POL,Poland,2020,0.1217427146040111,0.4945553175387984,6032.0598028985505,211030664.85,3.6,3.4,3.5,3.6,3.8,3.9,75
POL,Poland,2021,0.12276707899946518,0.49746593636771885,6117.854339622641,278533622.26,3.6,3.4,3.5,3.6,3.8,3.9,NA
POL,Poland,2022,0.12766661303447263,0.4978165887087593,6209.287851373182,307928565.367,3.6,3.4,3.5,3.6,3.8,3.9,NA
POL,Poland,2023,0.11975814335066226,0.48066483177773117,6178.414944473823,294956915.59,3.6,3.4,3.5,3.6,3.8,3.9,NA
PRT,Portugal,2019,0.18635768139645298,0.5989417241618487,5735.465044709389,66020627.106488526,3.64,3.17,3.25,3.71,3.72,4.13,70
PRT,Portugal,2020,0.18691729788531838,0.5984125668553035,5823.255044444444,58037457.335579,3.4,3.2,3.6,3.6,3.2,3.6,70
PRT,Portugal,2021,0.18232842177196007,0.5881174268402405,5845.291349095966,71865038.92475988,3.4,3.2,3.6,3.6,3.2,3.6,NA
PRT,Portugal,2022,0.1775825088604093,0.5805562325731431,5992.933119551682,79158611.757054,3.4,3.2,3.6,3.6,3.2,3.6,NA
PRT,Portugal,2023,0.18586300190745397,0.590900690560273,5962.647662094763,81609053.105055,3.4,3.2,3.6,3.6,3.2,3.6,NA
RUS,Russia,2019,0.1330128218210038,0.4829812979839972,7262.273305144468,207525696.79986,2.76,2.42,2.78,2.75,2.65,3.31,65
RUS,Russia,2020,0.13554411125319318,0.4933082387007289,7285.610203636364,195633388.815583,2.6,2.4,2.7,2.6,2.5,2.9,65
RUS,Russia,2021,0.14422521113424872,0.5113871496956115,7356.196400862069,251577520.3664,2.6,2.4,2.7,2.6,2.5,2.9,NA
SAU,Saudi Arabia,2019,0.16580009235619417,0.5305344638658847,6220.240843454791,124579573.736222,3.01,2.66,3.11,2.86,3.17,3.3,65
SAU,Saudi Arabia,2020,0.15495924398545918,0.5245303981367455,6161.891732229124,108285748.919249,3.4,3,3.6,3.3,3.5,3.6,65
SAU,Saudi Arabia,2021,0.16526449662767265,0.5489774023894125,6063.280748626374,119576136.841343,3.4,3,3.6,3.3,3.5,3.6,NA
SAU,Saudi Arabia,2022,0.17743300014179447,0.56127138069439,6121.701268861454,142512418.040672,3.4,3,3.6,3.3,3.5,3.6,NA
SAU,Saudi Arabia,2023,0.17224236495804468,0.5533909728032339,6201.4355252918285,160283740.510294,3.4,3,3.6,3.3,3.5,3.6,NA
