year,reporter_region,partner_region,total_value_kusd,region_total,import_share_pct
2021,East Asia & Pacific,"Middle East, North Africa, Afghanistan & Pakistan",55427248.86899506,2555273059.0793347,2.169132127466859
2021,East Asia & Pacific,North America,265761726.38914058,2555273059.0793347,10.400521597675928
2021,East Asia & Pacific,South Asia,41093628.81966581,2555273059.0793347,1.6081893351339855
2021,East Asia & Pacific,Sub-Saharan Africa,41849169.52152689,2555273059.0793347,1.6377572397920224
2021,Europe & Central Asia,East Asia & Pacific,1165984474.782363,5530534609.833058,21.082672056862126
2021,Europe & Central Asia,Europe & Central Asia,3655882344.0591645,5530534609.833058,66.10359760807137
2021,Europe & Central Asia,Latin America & Caribbean,74460002.4145737,5530534609.833058,1.3463436659846038
2021,Europe & Central Asia,"Middle East, North Africa, Afghanistan & Pakistan",111525273.41325529,5530534609.833058,2.0165369404789195
2021,Europe & Central Asia,North America,369644426.513196,5530534609.833058,6.683701533229423
2021,Europe & Central Asia,South Asia,103040803.87758596,5530534609.833058,1.8631255592250293
2021,Europe & Central Asia,Sub-Saharan Africa,49997284.772919804,5530534609.833058,0.9040226361485332
2021,Latin America & Caribbean,East Asia & Pacific,263509882.26118,644689486.14976,40.873922705785716
2021,Latin America & Caribbean,Europe & Central Asia,112115022.62129,644689486.14976,17.39054615127474
2021,Latin America & Caribbean,Latin America & Caribbean,45408835.32758,644689486.14976,7.043520377348239
2021,Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",11318740.74797,644689486.14976,1.7556887449131877
2021,Latin America & Caribbean,North America,196780299.62372,644689486.14976,30.52326799975273
2021,Latin America & Caribbean,South Asia,13325891.69786,644689486.14976,2.067024821118988
2021,Latin America & Caribbean,Sub-Saharan Africa,2230813.87016,644689486.14976,0.346029199806399
2021,"Middle East, North Africa, Afghanistan & Pakistan",East Asia & Pacific,75024157.75985384,214877597.99445084,34.914834519786154
2021,"Middle East, North Africa, Afghanistan & Pakistan",Europe & Central Asia,81893355.26351602,214877597.99445084,38.11163007584946
2021,"Middle East, North Africa, Afghanistan & Pakistan",Latin America & Caribbean,2461504.8911393606,214877597.99445084,1.1455381641053752
2021,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",23868329.075311247,214877597.99445084,11.107872248240435
2021,"Middle East, North Africa, Afghanistan & Pakistan",North America,21416645.93488362,214877597.99445084,9.966904942522998
2021,"Middle East, North Africa, Afghanistan & Pakistan",South Asia,8906195.79870088,214877597.99445084,4.144776320019586
2021,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,1307409.2710458646,214877597.99445084,0.6084437294759913
2021,North America,East Asia & Pacific,1162192980.3388479,2813078799.890849,41.313914860257114
2021,North America,Europe & Central Asia,659577861.519566,2813078799.890849,23.44683204555658
2021,North America,Latin America & Caribbean,435388366.838182,2813078799.890849,15.477290108441883
2021,North America,"Middle East, North Africa, Afghanistan & Pakistan",45902544.417989,2813078799.890849,1.6317546604016238
2021,North America,North America,405016233.8937,2813078799.890849,14.397614240646764
2021,North America,South Asia,84875312.326719,2813078799.890849,3.0171679630877124
2021,North America,Sub-Saharan Africa,20125500.555845,2813078799.890849,0.7154261216083209
2021,South Asia,East Asia & Pacific,178044495.15846735,355641963.9332075,50.062847811712565
2021,South Asia,Europe & Central Asia,84572297.24251683,355641963.9332075,23.7801794555381
2021,South Asia,Latin America & Caribbean,9396854.1427973,355641963.9332075,2.6422231051907326
2021,South Asia,"Middle East, North Africa, Afghanistan & Pakistan",39509099.02052496,355641963.9332075,11.109234293831841
2021,South Asia,North America,25934108.548805244,355641963.9332075,7.292195853939183
2021,South Asia,South Asia,2430040.518513104,355641963.9332075,0.683282842001594
2021,South Asia,Sub-Saharan Africa,15755069.301582696,355641963.9332075,4.430036637785981
2021,Sub-Saharan Africa,East Asia & Pacific,71057236.04704529,166392334.97413066,42.7046330337829
2021,Sub-Saharan Africa,Europe & Central Asia,48448696.67463015,166392334.97413066,29.1171445380357
2021,Sub-Saharan Africa,Latin America & Caribbean,3005918.557885571,166392334.97413066,1.806524656531148
2021,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",9125261.489437224,166392334.97413066,5.4841838062167625
2021,Sub-Saharan Africa,North America,12378880.602535743,166392334.97413066,7.43957382679936
2021,Sub-Saharan Africa,South Asia,13692016.55607992,166392334.97413066,8.228754382350994
2021,Sub-Saharan Africa,Sub-Saharan Africa,8684325.04651676,166392334.97413066,5.219185756283141
2022,East Asia & Pacific,East Asia & Pacific,1523257454.1699293,2612559936.334699,58.305167777585574
2022,East Asia & Pacific,Europe & Central Asia,586064154.7855542,2612559936.334699,22.432563044190868
2022,East Asia & Pacific,Latin America & Caribbean,76775116.55844842,2612559936.334699,2.9386930225287142
2022,East Asia & Pacific,"Middle East, North Africa, Afghanistan & Pakistan",57579160.609784186,2612559936.334699,2.2039364459735644
2022,East Asia & Pacific,North America,288491317.5444372,2612559936.334699,11.04247652014358
2022,East Asia & Pacific,South Asia,35427280.48739188,2612559936.334699,1.356037042238913
2022,East Asia & Pacific,Sub-Saharan Africa,44965452.17915401,2612559936.334699,1.7211261473387844
2022,Europe & Central Asia,East Asia & Pacific,1232166302.6606047,5618535986.362342,21.930380185361365
2022,Europe & Central Asia,Europe & Central Asia,3576986607.815114,5618535986.362342,63.66403305945529
2022,Europe & Central Asia,Latin America & Caribbean,82978154.60639791,5618535986.362342,1.4768643434483222
2022,Europe & Central Asia,"Middle East, North Africa, Afghanistan & Pakistan",130718493.4404552,5618535986.362342,2.32655791041907
2022,Europe & Central Asia,North America,421860703.9627957,5618535986.362342,7.5083741563062345
2022,Europe & Central Asia,South Asia,121689995.11169904,5618535986.362342,2.1658666137775486
2022,Europe & Central Asia,Sub-Saharan Africa,52135728.765275456,5618535986.362342,0.9279237312321666
2022,Latin America & Caribbean,East Asia & Pacific,311795272.40789,760205027.28468,41.01462910888243
