year,partner_iso3,partner_name,total_value,global_share_pct
2021,DNK,Denmark,74343455.88800202,0.6012899308333225
2021,ARE,United Arab Emirates,72260950.8074539,0.5844466280720244
2021,FIN,Finland,65521141.07829219,0.5299350415783513
2021,PHL,Philippines,63540717.70132025,0.51391737571743
2021,HKG,Hong Kong,63505002.4647793,0.5136285108556491
2021,ROM,ROM,62481680.9300797,0.505351885462464
2021,PRT,Portugal,55421424.036137834,0.44824852204310334
2021,AUS,Australia,52437841.94170978,0.4241173076710296
2021,ISR,Israel,51171309.051985815,0.41387358864339213
2021,BGD,Bangladesh,47916055.70297978,0.3875450969464563
2021,SAU,Saudi Arabia,39615392.34303828,0.3204093250354896
2021,CHL,Chile,34632936.482139945,0.2801112180374379
2021,NOR,Norway,34177793.41091477,0.27643002051241916
2021,SVN,Slovenia,29202920.45109222,0.23619324402434863
2021,MAR,Morocco,25565408.94920094,0.206773048080369
2021,UKR,Ukraine,24043076.96508949,0.194460425772217
2021,BGR,Bulgaria,22401971.462258697,0.18118716314942623
2021,KHM,Cambodia,21729322.865379065,0.1757467807585108
2021,PAK,Pakistan,20587845.27317312,0.16651450907747278
2021,KAZ,Kazakhstan,18614150.431020003,0.15055126361156138
2021,LTU,Lithuania,17520963.564495087,0.1417095673585527
2021,BLR,Belarus,17106953.867870025,0.13836105660028186
2021,EGY,Egypt,16471851.888363024,0.13322435128078242
2021,ARG,Argentina,15930335.90803098,0.12884456959765056
2021,LUX,Luxembourg,15017645.531621102,0.12146272910142067
2021,PER,Peru,14380324.890224522,0.11630807924277932
2021,NZL,New Zealand,13850319.557077724,0.11202139568331135
2021,TUN,Tunisia,13632618.274301339,0.11026062753365551
2021,GRC,Greece,13472869.549703771,0.10896857972101832
2021,EST,Estonia,12021595.94314302,0.09723067762747344
2021,MMR,MMR,11886823.14186806,0.09614063510269606
2021,SER,SER,11862013.746256255,0.09593997669109473
2021,OMN,Oman,11313558.185008429,0.09150406767195163
2021,CRI,Costa Rica,10976804.20920605,0.08878040124564096
2021,HRV,Croatia,9385107.212443031,0.0759067546595438
2021,IRN,Iran,9380159.424602738,0.07586673694752419
2021,UZB,Uzbekistan,9345120.81629808,0.07558334465546095
2021,COL,Colombia,9324681.435949046,0.07541803093080895
2021,QAT,Qatar,9323195.856123064,0.07540601555998522
2021,LVA,Latvia,8799595.352710608,0.07117113426854424
2021,LKA,Sri Lanka,8730597.940305447,0.07061308314168678
2021,SPE,SPE,8292411.516218325,0.06706903099231705
2021,DOM,Dominican Republic,8029419.990451914,0.06494195532104259
2021,BHR,Bahrain,6717681.943835868,0.05433261694821494
2021,JOR,Jordan,6456334.6565885525,0.052218839879401326
2021,MKD,North Macedonia,6442933.365909891,0.0521104502296467
2021,TTO,Trinidad and Tobago,5519865.9249416245,0.04464468002694786
2021,ZMB,Zambia,5412044.657612171,0.0437726215303324
2021,HND,Honduras,5146651.160063372,0.04162611870935601
2021,BIH,Bosnia and Herzegovina,4433222.943146082,0.03585591071887747
2021,NIC,Nicaragua,4403766.81028118,0.035617669492647185
2021,GHA,Ghana,4379891.084485117,0.03542456260326425
2021,BFA,Burkina Faso,4009172.984387645,0.03242619431242126
2021,URY,Uruguay,3908049.1846042965,0.031608304938688964
2021,GIN,Guinea,3658665.349299137,0.029591288278776228
2021,ISL,Iceland,3523603.953557691,0.0284989116017225
2021,KWT,Kuwait,3388049.534436104,0.027402547351174863
2021,DZA,Algeria,3383871.425179232,0.027368754800155132
2021,BOL,Bolivia,3293163.891131097,0.026635112192041368
2021,LAO,Laos,3187861.9830534486,0.025783430275074626
2021,GTM,Guatemala,3146127.9652285343,0.02544588550544294
2021,PNG,Papua New Guinea,3036765.97943463,0.0245613656766516
2021,SLV,El Salvador,3026425.491098099,0.02447773179869438
2021,CIV,Côte d'Ivoire,3009976.750871364,0.024344694374551376
2021,MLT,Malta,2882677.9537779763,0.02331510160158746
2021,TZA,Tanzania,2857920.7982686446,0.023114865707976842
2021,BWA,Botswana,2856513.6949446993,0.02310348505516451
2021,CYM,Cayman Islands,2185963.228196486,0.017680072342434332
2021,NAM,Namibia,2066400.2529657416,0.01671304690289833
2021,ALB,Albania,2065506.8154682124,0.016705820779701924
2021,MOZ,Mozambique,2010807.903849901,0.016263415938673535
2021,ECU,Ecuador,1944880.7201904128,0.015730196824372895
2021,BRN,Brunei,1884791.3335630784,0.015244193817149258
2021,MLI,Mali,1880740.8915769362,0.015211433839117555
2021,VEN,Venezuela,1869022.3524894884,0.015116654285581945
2021,KGZ,Kyrgyzstan,1823335.8734004574,0.014747142006076859
2021,SEN,Senegal,1659407.7576867857,0.013421291274741431
2021,PAN,Panama,1630192.5667034753,0.013184998786642664
2021,NGA,Nigeria,1602278.070144737,0.012959226316092778
2021,MNG,Mongolia,1597656.9852205922,0.012921850977520946
2021,LBN,Lebanon,1567163.1394250102,0.012675216728275256
2021,SWZ,Eswatini,1561726.6173798505,0.012631246133614814
2021,AZE,Azerbaijan,1548844.5186696101,0.012527055708917075
2021,MDG,Madagascar,1538481.3496759464,0.012443238389786773
2021,MDA,Moldova,1427873.4589775396,0.011548641681128817
2021,PRY,Paraguay,1299812.6505851804,0.010512885760167817
2021,SUR,Suriname,1286891.7614003485,0.010408381598080479
2021,MHL,Marshall Islands,1282238.705205946,0.01037074767584917
2021,HTI,Haiti,1278170.0158643604,0.010337840113192009
2021,IRQ,Iraq,1264461.5401814894,0.010226965950877017
2021,KEN,Kenya,1248286.1809450595,0.010096139632402808
2021,GEO,Georgia,1163253.696500477,0.009408396830033028
2021,NCL,New Caledonia,1150360.178871342,0.009304114049110114
2021,LBY,Libya,1102343.7533573708,0.00891575716105188
2021,COG,Congo,1070686.6905252435,0.008659714811481903
2021,CYP,Cyprus,1059435.2225603478,0.008568712929560008
2021,LSO,Lesotho,965225.977760769,0.007806748482080775
2021,MUS,Mauritius,963541.3511631412,0.007793123220808369
2021,BHS,Bahamas,904840.4065649379,0.0073183499338296465
2021,AGO,Angola,872094.2793965889,0.00705349923103506
2021,ARM,Armenia,852607.5429386181,0.006895890490937851
2021,LBR,Liberia,852137.3483324436,0.006892087556586093
2021,CMR,Cameroon,838282.4692614393,0.006780029283550488
2021,TKM,Turkmenistan,828827.7925416545,0.006703559850659781
2021,CUB,Cuba,827626.3146714588,0.00669384229668225
2021,TJK,Tajikistan,804838.4914103061,0.00650953436387398
2021,GAB,Gabon,698373.8092086308,0.005648447928859755
2021,ETH,Ethiopia,650562.1357498164,0.005261747075587806
2021,MRT,Mauritania,628376.9768111034,0.0050823134923026645
2021,ZWE,Zimbabwe,544038.4789896556,0.004400183654297261
2021,NPL,Nepal,531497.0477616241,0.0042987485484687876
2021,GNQ,Equatorial Guinea,510464.8379644527,0.004128640018764909
2021,NER,Niger,432265.2368547642,0.003496161582286596
2021,MAC,Macao,412785.4156749754,0.0033386087729648673
2021,SLB,Solomon Islands,375650.17800585483,0.003038258940920699
2021,BUN,BUN,340456.5617408115,0.0027536129443495663
2021,SLE,Sierra Leone,277430.0119352274,0.0022438541589851276
2021,BTN,Bhutan,272276.71249465615,0.0022021742689776933
2021,JAM,Jamaica,268887.8556419891,0.0021747651920360185
2021,GUY,Guyana,266004.84263445745,0.0021514473805194032
2021,UGA,Uganda,256762.8773276719,0.002076698357707593
2021,SUD,SUD,240941.26889193605,0.001948733175993047
2021,BEN,Benin,218496.58239965743,0.0017672005336465694
2021,TGO,Togo,209234.5161795452,0.0016922889346316556
2021,YEM,Yemen,208915.63993113546,0.0016897098632788316
2021,BMU,Bermuda,205614.16877969657,0.0016630075619587597
2021,MNT,MNT,202575.24596963066,0.001638428751834233
2021,SYR,Syria,194438.56454159168,0.0015726192659199804
2021,FJI,Fiji,185810.04724495803,0.0015028318111061625
2021,VGB,VGB,184711.61181216314,0.001493947664444954
2021,SMR,San Marino,139531.4633611708,0.0011285305875463176
2021,PYF,French Polynesia,130637.85275033068,0.0010565990577946372
2021,DJI,Djibouti,112372.84956497302,9.088716973859511e-4
2021,VCT,St. Vincent and the Grenadines,97930.36727125535,7.920608890138793e-4
2021,GIB,GIB,89416.56027669061,7.232012112151737e-4
2021,ATG,ATG,86093.42593146159,6.963236979663571e-4
2021,AND,Andorra,82277.94729857052,6.65464103724151e-4
2021,PRK,PRK,80677.0044933303,6.525156770316766e-4
2021,CAF,Central African Republic,79957.38937991088,6.466954294173278e-4
2021,BRB,Barbados,71246.3474250959,5.762405151019688e-4
2021,FRO,Faroe Islands,64031.91078121981,5.178901457415134e-4
2021,AFG,Afghanistan,62260.44740974646,5.035625485726161e-4
2021,KNA,St. Kitts and Nevis,60758.85872098067,4.914176980538525e-4
2021,CUW,Curaçao,60239.67389218083,4.8721853074221893e-4
2021,SXM,Sint Maarten,56260.099617219166,4.550317308153683e-4
2021,FRE,FRE,56040.510240999996,4.532556917644333e-4
2021,BLZ,Belize,55094.16897414421,4.4560168283929444e-4
2021,GMB,Gambia,52659.78677372425,4.259123976503256e-4
2021,MWI,Malawi,48699.22068959506,3.9387933598616947e-4
2021,RWA,Rwanda,46805.26841656175,3.785610484832394e-4
2021,CPV,Cabo Verde,45702.68274817369,3.696433347132254e-4
2021,ABW,Aruba,41288.274878798424,3.339396003260929e-4
2021,GRL,Greenland,33012.93133979442,2.6700861514717094e-4
2021,NRU,Nauru,31805.586304791545,2.5724360753597654e-4
