partner_region,partner_name,total_value,share_pct
Europe & Central Asia,Russia,674675.988492,0.3588290669460371
East Asia & Pacific,Hong Kong,630268.220612,0.33521062166958193
Europe & Central Asia,Ireland,597290.908651,0.3176715091426888
Europe & Central Asia,Croatia,593554.955636,0.31568452789925816
Europe & Central Asia,Denmark,569142.353744,0.30270058996749444
Europe & Central Asia,Hungary,549970.399353,0.29250391093489525
Europe & Central Asia,Norway,539747.889139,0.28706702883963237
Sub-Saharan Africa,Kenya,458539.23288,0.24387588694277806
"Middle East, North Africa, Afghanistan & Pakistan",Qatar,424597.183667,0.22582367512987508
Sub-Saharan Africa,Botswana,423063.463519,0.2250079600621234
Latin America & Caribbean,Bahamas,418558.634792,0.22261204925985204
Europe & Central Asia,Slovakia,384006.092922,0.20423514453624037
NA,ROM,378466.504456,0.20128889271399494
"Middle East, North Africa, Afghanistan & Pakistan",Pakistan,353198.532395,0.18785002280766705
"Middle East, North Africa, Afghanistan & Pakistan",Israel,339659.266586,0.18064911125864805
NA,SPE,333832.953121,0.17755036362268434
"Middle East, North Africa, Afghanistan & Pakistan",Oman,305850.744291,0.16266791626006097
Sub-Saharan Africa,Lesotho,284693.731563,0.15141547617615886
Sub-Saharan Africa,Mauritius,272141.78908300004,0.14473967640666383
Sub-Saharan Africa,Zambia,251801.670797,0.1339217048312252
Sub-Saharan Africa,Tanzania,235586.864915,0.1252977968152396
Sub-Saharan Africa,Nigeria,223085.547009,0.11864892192370495
"Middle East, North Africa, Afghanistan & Pakistan",Tunisia,217740.095333,0.11580592251358596
Sub-Saharan Africa,Ghana,215147.810593,0.114427205721557
Sub-Saharan Africa,Uganda,208752.286272,0.11102572106243261
Europe & Central Asia,Greece,196755.560163,0.10464521529443954
South Asia,Bangladesh,193048.32348,0.1026735069446547
East Asia & Pacific,Philippines,187528.171064,0.09973759226172586
Sub-Saharan Africa,Madagascar,184748.62198,0.0982592781948925
Sub-Saharan Africa,Côte d'Ivoire,175264.470654,0.09321509516610231
Europe & Central Asia,Slovenia,140709.05731899999,0.0748366632425839
"Middle East, North Africa, Afghanistan & Pakistan",Bahrain,138225.542838,0.07351579633881863
Europe & Central Asia,Bulgaria,134259.951187,0.07140668088741822
Latin America & Caribbean,Chile,134105.291269,0.07132442440428188
"Middle East, North Africa, Afghanistan & Pakistan",Lebanon,117892.488295,0.06270158164276074
Sub-Saharan Africa,Mozambique,113436.127696,0.06033144880419863
Europe & Central Asia,Lithuania,102822.1617,0.05468636941808556
Latin America & Caribbean,Argentina,100106.188277,0.053241868315558355
Europe & Central Asia,Luxembourg,92975.036068,0.049449137083007626
"Middle East, North Africa, Afghanistan & Pakistan",Algeria,83951.502306,0.044649935309706464
Europe & Central Asia,Azerbaijan,78202.29817,0.041592198572381264
South Asia,Sri Lanka,76822.53197899999,0.040858364519643094
"Middle East, North Africa, Afghanistan & Pakistan",Jordan,74448.04534899999,0.039595484505455594
Europe & Central Asia,Latvia,69412.495405,0.03691730754527597
Europe & Central Asia,Ukraine,69383.844466,0.036902069431153255
Europe & Central Asia,North Macedonia,69230.250677,0.03682037997290121
Sub-Saharan Africa,Zimbabwe,67282.339443,0.03578437575382085
East Asia & Pacific,New Zealand,65059.632838,0.03460222054039813
NA,SER,60561.072444,0.03220964357558362
Latin America & Caribbean,Panama,48932.70151,0.02602504895013088
East Asia & Pacific,Cambodia,44837.494641,0.023846997137380328
Sub-Saharan Africa,Mali,44795.988366,0.02382492186245622
Latin America & Caribbean,Costa Rica,42607.822073,0.022661137049252857
Sub-Saharan Africa,Angola,41421.317195,0.022030089782769754
Sub-Saharan Africa,Guinea,41191.577716,0.021907901941055543
Sub-Saharan Africa,Cameroon,37523.078111,0.019956796057924407
Sub-Saharan Africa,Ethiopia,36115.241578,0.019208032683851958
Sub-Saharan Africa,Togo,34544.1089,0.01837241961548818
Europe & Central Asia,Georgia,34385.560632,0.018288095098175042
Latin America & Caribbean,Colombia,33325.273573,0.017724177273077523
Sub-Saharan Africa,Congo,33259.464167,0.01768917628274432
Europe & Central Asia,Estonia,31994.931,0.01701662936514743
"Middle East, North Africa, Afghanistan & Pakistan",Kuwait,30943.561539,0.01645745439947328
East Asia & Pacific,PRK,27891.962855,0.014834449687358114
"Middle East, North Africa, Afghanistan & Pakistan",Malta,27774.015736,0.014771719050160928
Sub-Saharan Africa,Mauritania,27752.19909,0.014760115781537762
Europe & Central Asia,Iceland,24625.822425,0.013097340107348913
Latin America & Caribbean,Jamaica,24500.788313,0.013030840225167442
Sub-Saharan Africa,Senegal,22968.104876,0.01221567653622155
Latin America & Caribbean,Uruguay,22425.590574,0.011927138179866738
Sub-Saharan Africa,Malawi,21288.046345,0.011322130826315781
East Asia & Pacific,Vanuatu,18824.236935,0.010011744141739635
